C,score
5.768448547591692,0.34566813509544786
38.95286467626792,0.34512594600700325
0.2668846465658296,0.34144357844798373
0.8398801062674738,0.34419970631424374
0.5492449283210399,0.34419970631424374
7.954656970424225,0.3453066757031515
0.08604635268316667,0.3343725290861855
0.5419128617850139,0.34410934146616967
11.68790459003645,0.34546481418728114
0.07636241094419101,0.33283632666892576
0.17310332075957688,0.33889077148989044
0.25243762117203977,0.34105952784366883
0.06818414872763127,0.33161640121992547
0.20365384988769422,0.3399073760307241
42.81846798491211,0.34501298994691065
0.36163705812929003,0.3433412402575398
50.993401432993636,0.34492262509883653
1.3058226266706037,0.3444482096464475
20.315666767658332,0.34519371964305884
0.043738883452409845,0.3252456794307015
