reg_param,score
3.1040483366210236,0.00020332090816672314
5.900943704055344,0.00020332090816672314
7.519724101296981,0.00020332090816672314
0.6239191496993424,0.2261380323054332
2.3474959654274254,0.00020332090816672314
7.756229497667877,0.00020332090816672314
6.940799571668281,0.00020332090816672314
8.801491936830544,0.03752400316276968
4.9252550065408,0.00020332090816672314
3.694420306087214,0.00020332090816672314
0.5459285257845203,0.23194397379419407
0.892091960152166,0.20998531571218795
9.999369592980404,0.03752400316276968
1.123843942426087,0.20060996272450016
7.6506782696815385,0.00020332090816672314
1.38469433446059,0.015520162656726533
8.50196789950476,0.03752400316276968
6.246092021069507,0.00020332090816672314
0.7908813185992125,0.21549757144470802
6.096058797470487,0.00020332090816672314
