num_layers,eta,hidden_dim,epochs,score
3,0.0007713788131066039,312,20,0.23628148650175082
6,0.0025233176725078677,40,20,0.3073534395120298
7,0.0868730009515002,223,20,0.052185699762792276
19,0.0005510793918607867,327,20,0.052185699762792276
6,0.002551274635242615,101,20,0.2565683948943861
3,0.13354804981459167,54,20,0.052185699762792276
9,0.008169600324070596,289,20,0.17788320343386424
6,0.0005282538365754612,345,20,0.3484694453857449
4,0.0036084360226037457,66,20,0.2913136789788772
7,0.0005687916676675168,33,20,0.25909861064046086
2,0.0008307575972588574,233,20,0.2757031514740766
5,0.10938292061317233,23,20,0.052185699762792276
6,0.026227544850387436,110,20,0.13272337060883316
12,0.0014880417210094239,348,20,0.2787303738845589
7,0.009673070392820695,398,20,0.20293685756240823
11,0.1322117432720759,231,20,0.04879701796001355
15,0.11142963051468283,174,20,0.04879701796001355
11,0.0021860600205275567,349,20,0.11395007342143906
12,0.001038061494004727,273,20,0.31611882977521744
13,0.0020911878912259524,25,20,0.1956398960804247
