max_depth,eta,gamma,lambda,alpha,num_class,eval_metric,num_round,score
45,1.6389181416594245,7.060257249689025,0.4577443461046667,0.3198677620955735,61,merror,10,0.04482306684141547
5,2.125998644558337,1.6776561035840558,0.038069824675904515,13.024646018532763,61,merror,10,0.03145478374836173
13,0.4797301452459354,0.038403053411997026,47.24464470283216,0.17432369322777394,61,merror,10,0.5798165137614679
7,1.2687929095130297,0.04780993030030142,14.13049119252732,1.8006525555838562,61,merror,10,0.963302752293578
14,1.292242025006817,0.02810373350890843,0.17035629919949477,0.025114503986764066,61,merror,10,0.04744429882044561
36,2.159680581193225,25.69725531074169,2.1940449303936744,15.9327116446218,61,merror,10,0.05897771952817824
39,2.1170740164173285,11.749164571854557,7.39201818527482,0.025654470334817214,61,merror,10,0.30117955439056354
34,0.9535814303429914,0.15080781211551103,12.082747158067754,0.11961727510061974,61,merror,10,0.9884665792922673
7,1.423784944046854,0.17959201621787654,0.11277343436821477,1.8140157981984493,61,merror,10,0.03800786369593709
23,0.395731071911606,0.025233514584970466,22.869279335378945,13.789386720978156,61,merror,10,0.4233289646133683
41,1.0382843368332828,0.16970533772276186,0.02028405888561333,1.7572130442084501,61,merror,10,0.9774574049803407
27,0.828996077294095,0.1049869675456873,6.2123785863761105,0.050092135377912315,61,merror,10,0.9973787680209698
32,1.8314004443565173,0.19473572307909812,0.8469700681712129,9.61572494564747,61,merror,10,0.0563564875491481
12,0.7535428398675887,30.66619576660571,0.06108592867484523,4.728423568342104,61,merror,10,0.25871559633027524
6,0.5647325794067993,0.25416998128242807,0.5039893068270638,4.269317551658736,61,merror,10,0.8411533420707733
13,0.5213476456166666,1.119725981157275,0.6274085253017492,0.032320032824594995,61,merror,10,0.9952817824377458
12,1.9508311675413377,8.40606556708276,2.442650718662501,9.524621958218885,61,merror,10,0.04875491480996068
12,1.893702731102534,8.646488386476715,0.04785574105437433,2.409282449444331,61,merror,10,0.036435124508519004
45,0.41747521126909165,0.3412288298393664,12.450251871251256,2.464815539765807,61,merror,10,0.7336828309305373
20,0.8279734393359678,30.821412472294515,3.649061104955205,20.980067750984084,61,merror,10,0.1706422018348624
